run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0033_history=2,cnn,0.1627299484014511,0.2744871025313963,0.2821358384787639,351551,351551,35,0.7468354558412442,0.47275709111471625,0.6155735299214663,53,0.3815135061740875,0.2849915325641632,4,trial_0033_history=2,completed,[10],0.0,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0034_history=3,cnn,0.1685688145160675,0.235826376627074,0.2379854921426252,351551,351551,39,0.6773164156205077,0.47275709111471625,0.5052571147223964,32,0.3815135061740875,0.24439886212348938,2,trial_0034_history=3,completed,[10],0.0,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0035_history=4,cnn,0.16912393248081206,0.22755944212429588,0.23342140622604413,351551,351551,31,0.6671627252278185,0.47275709111471625,0.5019730398903637,31,0.3815135061740875,0.23683831095695496,1,trial_0035_history=4,completed,[10],0.0,[256],4
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0036_history=5,cnn,0.17080132174491883,0.21848377078440967,0.21590748503186305,351551,351551,35,0.6454755615451658,0.47275709111471625,0.44305915617898267,19,0.3815135061740875,0.22624900937080383,1,trial_0036_history=5,completed,[10],0.0,[256],5
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0037_history=6,cnn,0.17268041646480561,0.20989873314380494,0.21238150226924765,351551,351551,37,0.6451882223631008,0.47275709111471625,0.4424477351337051,20,0.3815135061740875,0.21775706112384796,1,trial_0037_history=6,completed,[10],0.0,[256],6
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0038_history=10,cnn,0.17206606435775756,0.21396327917343616,0.21632257849029282,351551,351551,35,0.6472126876889642,0.47275709111471625,0.4347072249793948,18,0.3815135061740875,0.22189834713935852,1,trial_0038_history=10,completed,[10],0.0,[256],10
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0039_history=20,cnn,0.17306813514232636,0.2155323536243397,0.21802326488227866,351551,351551,41,0.6160720643405199,0.47275709111471625,0.40844253816585846,14,0.3815135061740875,0.22140704095363617,1,trial_0039_history=20,completed,[10],0.0,[256],20
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0040_history=1,cnn,0.16111762750148773,0.28182916025901744,0.28936034091800167,351551,351551,33,0.7498180706359333,0.47275709111471625,0.6168248987764382,53,0.3815135061740875,0.29239317774772644,6,trial_0040_history=1,completed,[10],0.0001,[256],1
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0041_history=2,cnn,0.1629106969833374,0.27566184261275606,0.28286062862273215,351551,351551,35,0.7500411544858422,0.47275709111471625,0.6186583424436533,52,0.3815135061740875,0.28640779852867126,4,trial_0041_history=2,completed,[10],0.0001,[256],2
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0042_history=3,cnn,0.16842288494110108,0.23426870147160722,0.23641986096588033,351551,351551,33,0.6782781429472645,0.47275709111471625,0.5036858726359782,31,0.3815135061740875,0.24304388463497162,3,trial_0042_history=3,completed,[10],0.0001,[256],3
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0043_history=4,cnn,0.16897381472587586,0.22979996361422791,0.23295365161508727,351551,351551,35,0.6837809919763107,0.47275709111471625,0.5075266789175007,33,0.3815135061740875,0.23932106792926788,1,trial_0043_history=4,completed,[10],0.0001,[256],4
results/hist_cnn_v3_2026-02-19_14-35-39/trial_0044_history=5,cnn,0.17150338411331176,0.21436268012835202,0.214933906336472,351551,351551,39,0.6547402608840688,0.47275709111471625,0.44606835405604084,21,0.3815135061740875,0.22227630019187927,1,trial_0044_history=5,completed,[10],0.0001,[256],5
