model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels,sweep_name
cnn,0.1616947776079177,0.3580092310874553,0.3629896415992158,116799,116799,50,0.733178360323312,0.4727570911147162,0.5963949345570219,51,trial_0091_learning_rate=1.0e-03,completed,[5],0.001,0.0001,[128],base_cnn_kernel_sweep
cnn,0.1613862129449844,0.3618653239385229,0.3668078592860171,217151,217151,50,0.7673646111022612,0.4727570911147162,0.6247136278721597,53,trial_0092_learning_rate=1.0e-03,completed,[5],0.001,0.0001,[256],base_cnn_kernel_sweep
cnn,0.1629852945804596,0.3476854287630868,0.3521555564437666,66623,66623,50,0.7043911879200623,0.4727570911147162,0.5672436105521546,47,trial_0093_learning_rate=1.0e-03,completed,[5],0.001,0.001,[64],base_cnn_kernel_sweep
cnn,0.1617418678998947,0.3586870520944006,0.3627115325736686,116799,116799,50,0.7374182897050937,0.4727570911147162,0.5953395115863825,51,trial_0094_learning_rate=1.0e-03,completed,[5],0.001,0.001,[128],base_cnn_kernel_sweep
cnn,0.1610752135515213,0.3650153728555881,0.3671863793338295,217151,217151,47,0.764046774359482,0.4727570911147162,0.619961402809292,52,trial_0095_learning_rate=1.0e-03,completed,[5],0.001,0.001,[256],base_cnn_kernel_sweep
cnn,0.1628890421390533,0.3455975046863522,0.3512389983293571,66623,66623,50,0.6859420281498982,0.4727570911147162,0.5368110261556697,41,trial_0096_learning_rate=0.01,completed,[5],0.01,0.0,[64],base_cnn_kernel_sweep
cnn,0.1614623409509658,0.359376583938242,0.362725974885035,116799,116799,50,0.7310638220431769,0.4727570911147162,0.571277677419004,47,trial_0097_learning_rate=0.01,completed,[5],0.01,0.0,[128],base_cnn_kernel_sweep
cnn,0.1628811095952987,0.3565790143367408,0.3614965477440155,217151,217151,49,0.7392712548689482,0.4727570911147162,0.5766635493632455,50,trial_0098_learning_rate=0.01,completed,[5],0.01,0.0,[256],base_cnn_kernel_sweep
cnn,0.1624059106111526,0.3504598091539329,0.3556521458152906,66623,66623,50,0.6945458885272279,0.4727570911147162,0.5456986149145555,43,trial_0099_learning_rate=0.01,completed,[5],0.01,1e-05,[64],base_cnn_kernel_sweep
cnn,0.1614654203653335,0.3589688938285001,0.3623818271100811,116799,116799,50,0.721026044188952,0.4727570911147162,0.5621864005927939,46,trial_0100_learning_rate=0.01,completed,[5],0.01,1e-05,[128],base_cnn_kernel_sweep
