model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_avg_mean_corr,model_avg_mean_corr,neurons_model_beats_loo_avg,loo_temporal_mean_corr,model_temporal_mean_corr,neurons_model_beats_loo_temporal,experiment,status,kernel_sizes,weight_decay,conv_channels,history,sweep_name
cnn,0.1648085182905197,0.2630428330553656,0.2703469978704301,620351,620351,29,0.7104274726651842,0.4727570911147162,0.597461713266466,49,0.3815135061740875,0.2740240693092346,4,trial_0043_history=2,completed,[20],0.0,[256],2,hist_cnn_initstate_v3
cnn,0.1707747415304183,0.2219967151250584,0.2287862476384491,620351,620351,30,0.6331545187845145,0.4727570911147162,0.488414025714218,28,0.3815135061740875,0.2315009981393814,2,trial_0044_history=3,completed,[20],0.0,[256],3,hist_cnn_initstate_v3
cnn,0.1715383962392807,0.218515007301815,0.2246779926925852,620351,620351,31,0.6436876848689258,0.4727570911147162,0.4943343104861945,29,0.3815135061740875,0.2288868427276611,1,trial_0045_history=4,completed,[20],0.0,[256],4,hist_cnn_initstate_v3
cnn,0.1743474868535995,0.2013624166449584,0.2101755875285718,620351,620351,32,0.5979167786067738,0.4727570911147162,0.4356092694473926,21,0.3815135061740875,0.2114936262369156,1,trial_0046_history=5,completed,[20],0.0,[256],5,hist_cnn_initstate_v3
cnn,0.1743538936376571,0.1987582215808347,0.2054821870381964,620351,620351,29,0.5865020145123793,0.4727570911147162,0.4269390470428265,19,0.3815135061740875,0.2090109586715698,1,trial_0047_history=10,completed,[20],0.0,[256],10,hist_cnn_initstate_v3
cnn,0.1752260346412658,0.1955923455153241,0.2018579016937844,620351,620351,30,0.5818277723868882,0.4727570911147162,0.4148654638476531,19,0.3815135061740875,0.2050631046295166,1,trial_0048_history=20,completed,[20],0.0,[256],20,hist_cnn_initstate_v3
cnn,0.1632781569957733,0.2659068543023256,0.2744937371181124,620351,620351,25,0.7029711394317354,0.4727570911147162,0.5951507693319235,51,0.3815135061740875,0.2777512669563293,5,trial_0049_history=1,completed,[20],0.0001,[256],1,hist_cnn_initstate_v3
cnn,0.1646784806251525,0.2615460666930165,0.2702057740108925,620351,620351,25,0.7074615545054174,0.4727570911147162,0.5902340386883632,50,0.3815135061740875,0.2732876241207123,4,trial_0050_history=2,completed,[20],0.0001,[256],2,hist_cnn_initstate_v3
cnn,0.1709580574035644,0.221493170368516,0.2283766730611241,620351,620351,30,0.6575503973196691,0.4727570911147162,0.5023384179098126,30,0.3815135061740875,0.2319552153348922,2,trial_0051_history=3,completed,[20],0.0001,[256],3,hist_cnn_initstate_v3
cnn,0.1710457408428192,0.2180233556943768,0.2240402920292997,620351,620351,26,0.6067933525923752,0.4727570911147162,0.4793946431133505,24,0.3815135061740875,0.2280996888875961,2,trial_0052_history=4,completed,[20],0.0001,[256],4,hist_cnn_initstate_v3
cnn,0.1736836030483246,0.2028486196003714,0.2080526063088022,620351,620351,29,0.5833919431126817,0.4727570911147162,0.4266951247263086,20,0.3815135061740875,0.2128298878669738,1,trial_0053_history=5,completed,[20],0.0001,[256],5,hist_cnn_initstate_v3
cnn,0.1746430132389068,0.1983603850195186,0.2042234869135492,620351,620351,30,0.5818028266265081,0.4727570911147162,0.4229425193660308,18,0.3815135061740875,0.2081427723169326,1,trial_0054_history=10,completed,[20],0.0001,[256],10,hist_cnn_initstate_v3
cnn,0.1761037908792495,0.1922696775029074,0.2001956885840223,620351,620351,31,0.5728236341554905,0.4727570911147162,0.4095907337016511,19,0.3815135061740875,0.2015277743339538,1,trial_0055_history=20,completed,[20],0.0001,[256],20,hist_cnn_initstate_v3
