run_dir,model_type,test_loss,test_corr,best_val_corr,total_params,trainable_params,epochs_trained,mean_pattern_corr,loo_mean_corr,model_sample_mean_corr,neurons_model_beats_loo,experiment,status,kernel_sizes,learning_rate,weight_decay,conv_channels
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0043_learning_rate=1.0e-04,cnn,0.16557855916023254,0.33364078873021574,0.3391396075917758,89919,89919,50,0.6879664051132324,0.47275709111471625,0.5804229272121925,50,trial_0043_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0044_learning_rate=1.0e-04,cnn,0.1635666790008545,0.3469479833438237,0.3543111621428198,163391,163391,50,0.727218767515021,0.47275709111471625,0.613757754082767,53,trial_0044_learning_rate=1.0e-04,completed,[3],0.0001,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0045_learning_rate=1.0e-04,cnn,0.16830095982551574,0.31590382292259966,0.3214344601280826,53183,53183,50,0.6400530908672614,0.47275709111471625,0.5382591820467212,39,trial_0045_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0046_learning_rate=1.0e-04,cnn,0.16577365064620972,0.3338736031724253,0.33904650103435796,89919,89919,50,0.6937424147707132,0.47275709111471625,0.5851331125151941,49,trial_0046_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0047_learning_rate=1.0e-04,cnn,0.16360132670402527,0.34696559189681975,0.354323851264636,163391,163391,50,0.7301881879369826,0.47275709111471625,0.6138357374700917,53,trial_0047_learning_rate=1.0e-04,completed,[3],0.0001,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0048_learning_rate=1.0e-03,cnn,0.16332258820533752,0.34713805394065056,0.35226671951903976,53183,53183,50,0.7008340455705159,0.47275709111471625,0.558021086882683,46,trial_0048_learning_rate=1.0e-03,completed,[3],0.001,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0049_learning_rate=1.0e-03,cnn,0.16171889245510102,0.35940200976528364,0.3657023786044079,89919,89919,50,0.7384756653521345,0.47275709111471625,0.5925208668835473,50,trial_0049_learning_rate=1.0e-03,completed,[3],0.001,0.0,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0050_learning_rate=1.0e-03,cnn,0.1613062368631363,0.36642618596806903,0.3705040876331517,163391,163391,50,0.7666252697566912,0.47275709111471625,0.6160036017543886,52,trial_0050_learning_rate=1.0e-03,completed,[3],0.001,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0051_learning_rate=1.0e-03,cnn,0.16317092442512512,0.34796311462580487,0.35342004033145336,53183,53183,50,0.7039625929420775,0.47275709111471625,0.560119522592956,47,trial_0051_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0052_learning_rate=1.0e-03,cnn,0.1617239886522293,0.3589515224175184,0.36514868219405416,89919,89919,50,0.7352200004602679,0.47275709111471625,0.5881835439852663,52,trial_0052_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0053_learning_rate=1.0e-03,cnn,0.1612176787853241,0.3659016780957314,0.37110271083572044,163391,163391,50,0.7646500174136449,0.47275709111471625,0.612321505205874,53,trial_0053_learning_rate=1.0e-03,completed,[3],0.001,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0054_learning_rate=1.0e-03,cnn,0.16341562616825103,0.3477082397981612,0.35168714330624046,53183,53183,50,0.6987951402837258,0.47275709111471625,0.5627573161702453,47,trial_0054_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0055_learning_rate=1.0e-03,cnn,0.1617821476459503,0.36043645089282955,0.36492801476044867,89919,89919,50,0.7348612223673601,0.47275709111471625,0.587581206742631,50,trial_0055_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0056_learning_rate=1.0e-03,cnn,0.16135923445224762,0.3642401857034819,0.3698204422804625,163391,163391,50,0.7602914631069816,0.47275709111471625,0.6139669909541664,53,trial_0056_learning_rate=1.0e-03,completed,[3],0.001,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0057_learning_rate=1.0e-03,cnn,0.16356983065605163,0.3464858450068698,0.352307144914425,53183,53183,50,0.6970857324350109,0.47275709111471625,0.5531384044368209,45,trial_0057_learning_rate=1.0e-03,completed,[3],0.001,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0058_learning_rate=1.0e-03,cnn,0.1617375178337097,0.35988571779233647,0.36568135061173734,89919,89919,50,0.7384957223150508,0.47275709111471625,0.5900490075008242,50,trial_0058_learning_rate=1.0e-03,completed,[3],0.001,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0059_learning_rate=1.0e-03,cnn,0.16112970721721648,0.36617943555309196,0.37022901739677666,163391,163391,50,0.7678035666416881,0.47275709111471625,0.6158913931154776,53,trial_0059_learning_rate=1.0e-03,completed,[3],0.001,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0060_learning_rate=0.01,cnn,0.16367566156387328,0.34513803526706743,0.34941616306741163,53183,53183,43,0.6783731135095438,0.47275709111471625,0.5305127389220458,40,trial_0060_learning_rate=0.01,completed,[3],0.01,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0061_learning_rate=0.01,cnn,0.16145805835723878,0.3606053469239826,0.36552925175029843,89919,89919,50,0.7312896489907853,0.47275709111471625,0.5674026754195234,46,trial_0061_learning_rate=0.01,completed,[3],0.01,0.0,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0062_learning_rate=0.01,cnn,0.16238862073421478,0.3587258316420047,0.36398555223294166,163391,163391,50,0.7411988383337355,0.47275709111471625,0.5751535120503557,50,trial_0062_learning_rate=0.01,completed,[3],0.01,0.0,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0063_learning_rate=0.01,cnn,0.16271698462963105,0.3489705026867047,0.35456711881539227,53183,53183,50,0.7052098815682499,0.47275709111471625,0.5478371313594775,43,trial_0063_learning_rate=0.01,completed,[3],0.01,1e-05,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0064_learning_rate=0.01,cnn,0.16174397790431977,0.3589267646248309,0.364118361348746,89919,89919,50,0.7231396419181959,0.47275709111471625,0.5619664156336587,44,trial_0064_learning_rate=0.01,completed,[3],0.01,1e-05,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0065_learning_rate=0.01,cnn,0.16228591251373292,0.35881603509190696,0.36400800881470075,163391,163391,50,0.742300976801174,0.47275709111471625,0.5765850741613568,48,trial_0065_learning_rate=0.01,completed,[3],0.01,1e-05,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0066_learning_rate=0.01,cnn,0.16259697329998016,0.34958547314990396,0.3559571114038356,53183,53183,50,0.6958482589721223,0.47275709111471625,0.5407544618015804,40,trial_0066_learning_rate=0.01,completed,[3],0.01,0.0001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0067_learning_rate=0.01,cnn,0.161519025683403,0.35941901214156863,0.36501263465454853,89919,89919,50,0.7282691178498986,0.47275709111471625,0.5659518881273597,47,trial_0067_learning_rate=0.01,completed,[3],0.01,0.0001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0068_learning_rate=0.01,cnn,0.16255393242836,0.3530986173930792,0.3583206496059201,163391,163391,26,0.7273235149048654,0.47275709111471625,0.5641489433750211,47,trial_0068_learning_rate=0.01,completed,[3],0.01,0.0001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0069_learning_rate=0.01,cnn,0.16223197829723357,0.3533428806853205,0.35809630077969296,53183,53183,50,0.6994884797054337,0.47275709111471625,0.543237756892588,43,trial_0069_learning_rate=0.01,completed,[3],0.01,0.001,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0070_learning_rate=0.01,cnn,0.16155440282821656,0.3608265668589636,0.36400975312581885,89919,89919,48,0.724801715518298,0.47275709111471625,0.5657447035786701,46,trial_0070_learning_rate=0.01,completed,[3],0.01,0.001,[128]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0071_learning_rate=0.01,cnn,0.16218163216114045,0.35852951735181404,0.3638830794315222,163391,163391,50,0.7468251677597258,0.47275709111471625,0.5780221324461029,50,trial_0071_learning_rate=0.01,completed,[3],0.01,0.001,[256]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0072_learning_rate=1.0e-04,cnn,0.16858071708679198,0.31530458407591333,0.32078685252839423,66623,66623,50,0.6535500798399456,0.47275709111471625,0.5567893706297136,43,trial_0072_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[64]
results/base_cnn_kernel_sweep_2026-02-15_19-39-07/trial_0073_learning_rate=1.0e-04,cnn,0.16539697647094725,0.33488642824093284,0.3407597424393915,116799,116799,50,0.693080762219227,0.47275709111471625,0.5877850864049463,49,trial_0073_learning_rate=1.0e-04,completed,[5],0.0001,0.0,[128]
