Ch_6,Ch_12,Ch_22,Ch_38,Ch_39,Ch_51,Ch_60,Ch_64,Ch_73,Ch_90
17,9,23,17,18,16,12,26,16,8
13,2,28,11,20,19,9,21,18,10
11,11,39,29,12,11,11,14,15,7
22,18,38,32,16,13,10,3,23,15
22,21,35,27,16,17,7,15,25,18
22,16,21,19,19,16,13,14,23,15
28,15,32,29,15,14,9,21,23,14
12,24,35,56,14,13,12,25,29,18
8,13,34,21,11,11,17,23,26,13
14,9,28,25,12,13,19,14,29,19
12,4,31,32,22,21,13,15,28,17
8,6,43,34,20,19,10,5,22,18
8,9,30,37,21,20,9,9,30,17
25,22,25,50,25,25,13,7,23,10
14,9,30,30,9,9,6,3,24,13
12,8,24,15,19,16,10,8,19,14
13,17,22,47,21,21,13,4,25,15
11,9,37,21,15,16,10,12,29,16
22,11,36,20,16,14,6,14,25,15
22,12,33,17,13,13,7,5,29,22
16,14,28,11,14,12,8,11,22,24
15,8,30,17,14,13,11,4,20,13
10,4,34,45,20,18,17,11,31,24
21,1,14,26,15,15,14,16,33,15
12,5,21,25,16,16,9,14,23,10
18,1,20,22,18,15,6,9,10,7
19,3,32,33,16,15,10,11,28,14
10,2,15,30,24,24,11,11,19,12
12,1,16,24,24,23,11,10,26,13
12,7,29,27,18,15,5,5,16,11
12,1,19,41,19,20,8,8,27,14
21,24,30,11,14,15,6,9,24,16
16,10,23,22,26,26,9,4,14,18
11,16,22,15,14,12,10,8,27,20
21,24,30,18,19,18,9,7,26,13
11,6,26,18,17,16,14,10,19,11
8,1,25,35,16,14,12,9,13,11
6,7,25,45,16,14,8,12,28,14
7,5,22,37,15,12,13,7,23,10
10,6,24,23,14,13,7,9,14,9
11,7,23,28,24,22,11,13,25,14
18,8,23,33,18,16,5,11,18,12
18,8,29,8,15,14,7,4,23,15
11,2,34,28,14,13,10,12,20,9
14,1,21,8,14,14,8,1,18,11
15,18,29,7,15,13,6,5,19,10
24,17,31,18,19,19,9,12,21,20
10,11,22,5,23,21,11,8,20,16
11,7,20,15,16,16,8,6,21,11
10,11,25,0,23,20,8,6,26,15
7,3,26,5,17,17,7,6,26,13
15,9,25,2,18,15,7,5,26,15
13,11,34,7,16,16,7,7,26,17
20,4,30,11,19,20,10,15,29,11
15,17,19,3,25,24,5,5,27,10
13,2,17,18,25,25,9,9,25,18
7,0,37,37,15,14,13,11,21,18
16,1,25,10,11,11,6,6,29,18
10,10,21,17,20,17,8,5,14,8
6,4,25,35,17,15,8,5,21,12
15,0,26,25,19,16,4,3,25,11
8,7,28,22,23,20,8,3,19,10
9,6,13,38,11,11,8,7,30,18
18,14,32,11,18,18,8,12,18,11
15,3,18,20,21,20,6,11,23,22
14,2,28,16,27,28,11,6,14,9
4,2,32,30,17,17,6,4,26,19
12,7,29,24,18,16,9,6,25,6
10,1,31,41,11,11,15,9,12,11
17,12,30,16,19,17,6,14,22,12
13,6,22,13,20,17,8,11,14,7
10,6,30,26,17,17,5,17,9,7
11,5,20,8,14,13,3,12,19,14
12,5,25,20,27,24,7,8,20,14
27,5,22,20,24,20,0,9,18,15
15,2,23,32,24,24,9,18,14,10
15,5,31,43,16,17,14,8,21,12
11,1,25,12,15,15,4,12,13,10
6,1,17,23,25,24,5,5,25,10
12,4,28,38,20,18,10,6,15,8
11,7,24,26,15,17,10,21,12,9
12,2,44,61,28,25,23,18,15,9
8,4,30,27,12,11,12,4,14,11
9,5,16,13,12,11,3,4,11,6
11,6,27,25,17,17,7,8,21,11
21,11,22,17,9,9,12,11,16,13
22,10,38,15,15,14,7,16,12,9
20,3,24,11,14,14,6,14,21,15
