config_id,batch_avg_test_loss_mean,batch_avg_test_loss_sem,batch_avg_test_loss_count,batch_avg_test_corr_mean,batch_avg_test_corr_sem,batch_avg_test_corr_count,all_test_fve_mean,all_test_fve_sem,all_test_fve_count,AR_FVE_mean,AR_FVE_sem,AR_FVE_count,AR_test_correlation_mean,AR_test_correlation_sem,AR_test_correlation_count,best_val_corr_mean,best_val_corr_sem,best_val_corr_count,total_params_mean,total_params_sem,total_params_count,trainable_params_mean,trainable_params_sem,trainable_params_count,epochs_trained_mean,epochs_trained_sem,epochs_trained_count,mean_pattern_corr_mean,mean_pattern_corr_sem,mean_pattern_corr_count,history_mean,history_sem,history_count,loo_avg_mean_corr_mean,loo_avg_mean_corr_sem,loo_avg_mean_corr_count,model_avg_mean_corr_mean,model_avg_mean_corr_sem,model_avg_mean_corr_count,neurons_model_beats_loo_avg_mean,neurons_model_beats_loo_avg_sem,neurons_model_beats_loo_avg_count,loo_temporal_mean_corr_mean,loo_temporal_mean_corr_sem,loo_temporal_mean_corr_count,all_test_corr_mean,all_test_corr_sem,all_test_corr_count,neurons_model_beats_loo_temporal_mean,neurons_model_beats_loo_temporal_sem,neurons_model_beats_loo_temporal_count,wall_time_s_mean,wall_time_s_sem,wall_time_s_count
04ed2df391,0.15203140348196031,0.0004821302294731253,2,0.2561571206642347,0.0014499286909954723,2,0.07538893582328918,0.0028055953601049954,2,-0.003862734351839338,0.00010615918371412484,2,0.08139973878860474,0.00039686262607574463,2,0.2651402755908504,0.001175973023271562,2,248639.0,0.0,2,248639.0,0.0,2,50.0,0.0,2,0.7487377113374953,0.001344787429353983,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.6266072972715591,0.0008680187609391155,2,57.0,1.0,2,0.31855225563049316,0.0,2,0.26722119748592377,0.0014345794916152954,2,14.5,0.5,2,416.7,2.6999999999999886,2
04eef9af1a,0.16636603623628615,1.820486783981473e-05,2,0.15178253660973445,0.0015657992744697036,2,0.026783778553917295,0.000807183129446846,2,0.01933212081591288,0.0007889985092102555,2,0.13206997513771057,0.002186909317970276,2,0.16271026007614192,0.0009853022188573979,2,321727.0,0.0,2,321727.0,0.0,2,50.0,0.0,2,0.5573589844397714,0.007846843148360705,2,10.0,0.0,2,0.45456832695830385,0.0,2,0.3959501370485611,0.00344515242314751,2,10.5,0.5,2,0.31855225563049316,0.0,2,0.1586574986577034,0.001699782907962799,2,1.0,0.0,2,702.3,5.19999999999996,2
0537951075,0.15146979939937594,0.00031049609184265886,2,0.2530154569237934,0.0005560393728570312,2,0.07852112868475536,0.0004782487475682752,2,-0.012755240712847029,0.001597285270690918,2,0.07099345326423645,0.000919044017791748,2,0.2654043442217994,0.00028693776672750193,2,321727.0,0.0,2,321727.0,0.0,2,50.0,0.0,2,0.7292368432018663,0.0062114322222454055,2,2.0,0.0,2,0.45456832695830385,0.0,2,0.5829623168316149,0.0022931611636708427,2,51.5,0.5,2,0.31855225563049316,0.0,2,0.26364485919475555,0.0005850046873092651,2,13.0,1.0,2,530.65,2.3500000000000227,2
0551bf781f,0.15197466564178466,0.00020375525951385476,2,0.25885852237155993,0.000998073368778954,2,0.0735847618844774,0.0013608705429803795,2,-0.003833809542277503,0.0012134852863493423,2,0.08320339396595955,0.0020051859319210052,2,0.2679533619902692,0.0006758076056238155,2,330559.0,0.0,2,330559.0,0.0,2,50.0,0.0,2,0.7635770238293929,0.000699933022487359,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.6385214906268555,0.0006968319564836234,2,58.0,1.0,2,0.31855225563049316,0.0,2,0.270351380109787,0.0010412037372589111,2,14.0,0.0,2,466.0,7.5,2
055b76edd7,0.15295730596780777,0.0002548816800117537,2,0.23244416507762783,0.0001232098108657001,2,0.06420677711093237,0.0006852500022403729,2,-0.012070481266294206,0.002202500899632771,2,0.06014043278992176,0.002064621075987816,2,0.23869643559084236,0.0010311526659435022,2,90687.0,0.0,2,90687.0,0.0,2,50.0,0.0,2,0.6637016154856419,0.0013949329423541823,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5348859207019581,0.0012744509168558238,2,45.0,1.0,2,0.31855225563049316,0.0,2,0.24061474949121475,0.00026688724756240845,2,12.5,0.5,2,300.1,3.5,2
057331c072,0.15695260328054428,0.0003426830172538753,2,0.2232488835799781,0.002471834294277303,2,0.055273800615280394,0.0018987333963787767,2,0.0001406007342868381,0.00022016536621820358,2,0.0904131755232811,0.0006114467978477478,2,0.23005690811713153,0.002835137698781222,2,143679.0,0.0,2,143679.0,0.0,2,50.0,0.0,2,0.6897370092666895,0.005323542165463463,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5760028780742718,0.006326758467175453,2,48.5,1.5,2,0.31855225563049316,0.0,2,0.23236145079135895,0.002659723162651062,2,9.0,0.0,2,496.2,0.19999999999998863,2
0594153fc3,0.1531547186970711,7.483619451522511e-05,2,0.24060860575152626,0.0007601797532989993,2,0.06556050219233074,0.00025803276470728886,2,-0.01037168644723438,0.00010922456544543114,2,0.06394047290086746,0.0011763200163841248,2,0.24961426356659422,0.0008666732469376562,2,485567.0,0.0,2,485567.0,0.0,2,50.0,0.0,2,0.707452341094252,0.005166415463705776,2,1.0,0.0,2,0.45456832695830385,0.0,2,0.5831851552183571,0.0006954062665109895,2,50.5,0.5,2,0.31855225563049316,0.0,2,0.25083816051483154,0.0007255971431732178,2,14.0,0.0,2,806.3,37.099999999999994,2
06165afbc1,0.16968845218420028,8.824926614761641e-05,2,0.14539901454973053,0.0010474517540746686,2,0.005316953810434493,6.199450719924192e-05,2,0.005228351505975875,0.0006348476523444768,2,0.12946964800357819,0.0001636296510696411,2,0.15145487536425334,0.0014455741432319244,2,330559.0,0.0,2,330559.0,0.0,2,46.5,1.5,2,0.5617507477376176,0.0012136457341204998,2,5.0,0.0,2,0.45456832695830385,0.0,2,0.4079324935444432,0.00502559565619487,2,13.0,0.0,2,0.31855225563049316,0.0,2,0.15226654708385468,0.000986248254776001,2,2.0,0.0,2,590.75,14.649999999999977,2
0702dc041b,0.16792260563373568,0.00019094932079315868,2,0.14038624643585368,0.0006418867631732342,2,0.022414963869821457,0.00018159406525748018,2,0.019066016352365888,8.182156653631367e-05,2,0.1340266391634941,0.00040686875581741333,2,0.14956023502729257,0.0009836485318208688,2,321727.0,0.0,2,321727.0,0.0,2,50.0,0.0,2,0.5179989573470734,0.0060654043292757975,2,20.0,0.0,2,0.45456832695830385,0.0,2,0.37117773101650137,0.003302821002091283,2,11.0,0.0,2,0.31855225563049316,0.0,2,0.14671337604522705,0.0007062256336212158,2,1.0,0.0,2,512.65,5.149999999999977,2
071960a492,0.15096729427576067,6.11750483512849e-05,2,0.25421840537763996,0.00021180269730769474,2,0.07968464635667347,2.3979043203684047e-05,2,-0.011494427446335082,0.0009753013414049907,2,0.0686446763575077,0.0030281729996204376,2,0.266159229397973,0.00018285561832570574,2,485567.0,0.0,2,485567.0,0.0,2,50.0,0.0,2,0.7339527831195335,0.003712047324161083,2,2.0,0.0,2,0.45456832695830385,0.0,2,0.5869123113083564,0.0011612858143648097,2,50.5,0.5,2,0.31855225563049316,0.0,2,0.2650100886821747,6.026029586791992e-05,2,13.0,0.0,2,1187.9,12.800000000000125,2
